longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-121.77,37.68,41,1501,299,629,288,4.6806,209400,INLAND
-120.02,38.92,24,1194,246,414,151,3.2396,101900,INLAND
-117.81,33.71,16,2666,387,1227,347,NA,302400,<1H OCEAN
-117.87,33.6,35,1598,398,NA,411,5.1155,500000,<1H OCEAN
-118.02,34.04,27,5640,1001,3538,978,5.065,215400,NA
-118.26,34.24,35,2485,418,1226,406,5.7083,329500,<1H OCEAN
-116.95,32.82,19,5308,1058,2852,1092,2.9161,135700,<1H OCEAN
-122.26,37.88,52,2551,417,894,404,NA,391800,NA
-117.1,32.73,24,2927,704,2005,668,2.2375,102900,NEAR OCEAN
-118.03,34.11,34,2837,460,1344,458,NA,437400,NA
-122.31,38,26,3735,641,1708,633,4.621,191100,NEAR BAY
-117.98,33.78,22,4255,971,2901,920,3.2636,180200,<1H OCEAN
-117.91,33.73,26,2413,512,2867,509,4.7639,179900,<1H OCEAN
-122.24,37.72,5,18634,2885,7427,2718,NA,350700,NEAR BAY
-118.86,34.19,26,3135,480,1474,458,NA,243500,NA
-122.47,37.75,49,2747,472,1281,448,5.482,366300,NEAR BAY
-122.45,37.91,27,2682,382,935,369,NA,500001,NEAR BAY
-122.45,37.66,35,2738,509,1545,493,5.3446,263300,NEAR OCEAN
-122.38,37.59,44,2089,348,837,317,4.6628,459200,NEAR OCEAN
-117.25,32.74,36,1240,310,577,319,2.6625,248200,NEAR OCEAN
-118.01,33.95,35,1755,322,774,290,5.0861,296700,NA
-118.18,34.14,38,3039,487,1131,465,NA,360900,<1H OCEAN
-121.94,38.89,15,1462,314,774,271,2.5478,91700,INLAND
-118.34,34.17,46,1718,344,756,343,3.2125,247000,NA
-117.96,34.14,9,907,207,619,194,3.9464,179600,INLAND
-118.16,33.87,32,1854,471,1363,478,2.6406,156700,<1H OCEAN
-118.33,33.98,38,3063,796,2153,721,1.8472,149100,<1H OCEAN
-117.99,33.79,33,2064,324,1384,315,4.5263,169000,<1H OCEAN
-118.31,34.28,34,3258,610,1810,633,5.1145,219900,<1H OCEAN
-118.38,33.83,40,3070,570,1264,506,5.1626,432700,<1H OCEAN
-118.14,34.72,15,2181,361,1057,300,4.625,118100,INLAND
-119.81,36.83,10,5780,922,2712,883,5.6445,135500,INLAND
-117.24,33.77,9,6907,1379,3665,1290,2.8401,104200,INLAND
-117.88,34.09,29,3416,790,2223,728,3.5109,186000,<1H OCEAN
-117.97,33.77,20,1988,424,1277,425,2.9414,162200,<1H OCEAN
-121.25,37.96,26,2205,478,1730,472,2.4866,68300,INLAND
-117.43,34.1,34,1345,265,834,290,3.7011,99500,INLAND
-118.32,34.09,34,1478,675,1976,653,2.0557,225000,<1H OCEAN
-118.03,33.97,36,2149,527,1359,481,2.824,167900,<1H OCEAN
-118.04,34.09,34,2597,461,1542,470,4.6211,248900,INLAND
